customer_id,first_name,last_name,gender,age,city
C0001,Emma,Johnson,Female,34,London
C0002,Liam,Williams,Male,29,Manchester
C0003,Olivia,Brown,Female,41,Birmingham
C0004,Noah,Jones,Male,22,Leeds
C0005,Ava,Miller,Female,27,Bristol
C0006,Elijah,Davis,Male,36,Liverpool
C0007,Sophia,Garcia,Female,31,Sheffield
C0008,James,Martinez,Male,45,Nottingham
C0009,Isabella,Hernandez,Female,38,Leicester
C0010,Lucas,Lopez,Male,25,Cardiff
C0011,Mia,Gonzalez,Female,33,London
C0012,Mason,Wilson,Male,28,Manchester
C0013,Charlotte,Anderson,Female,40,Birmingham
C0014,Ethan,Thomas,Male,23,Leeds
C0015,Amelia,Taylor,Female,26,Bristol
C0016,Logan,Moore,Male,37,Liverpool
C0017,Harper,Jackson,Female,32,Sheffield
C0018,Jacob,Martin,Male,46,Nottingham
C0019,Evelyn,Lee,Female,39,Leicester
C0020,Michael,Perez,Male,24,Cardiff
C0021,Abigail,Thompson,Female,35,London
C0022,Benjamin,White,Male,30,Manchester
C0023,Emily,Harris,Female,42,Birmingham
C0024,Henry,Sanchez,Male,21,Leeds
C0025,Elizabeth,Clark,Female,28,Bristol
C0026,Daniel,Ramirez,Male,34,Liverpool
C0027,Sofia,Lewis,Female,29,Sheffield
C0028,Matthew,Robinson,Male,47,Nottingham
C0029,Aria,Walker,Female,36,Leicester
C0030,Joseph,Young,Male,27,Cardiff
C0031,Grace,Allen,Female,33,London
C0032,David,King,Male,31,Manchester
C0033,Chloe,Wright,Female,43,Birmingham
C0034,Samuel,Scott,Male,22,Leeds
C0035,Nora,Torres,Female,25,Bristol
C0036,Andrew,Nguyen,Male,38,Liverpool
C0037,Lily,Hill,Female,30,Sheffield
C0038,Christopher,Green,Male,48,Nottingham
C0039,Zoe,Adams,Female,37,Leicester
C0040,Jack,Baker,Male,26,Cardiff
C0041,Hannah,Nelson,Female,34,London
C0042,Owen,Carter,Male,29,Manchester
C0043,Victoria,Mitchell,Female,41,Birmingham
C0044,Wyatt,Rogers,Male,23,Leeds
C0045,Layla,Reed,Female,27,Bristol
C0046,Julian,Cook,Male,36,Liverpool
C0047,Aurora,Morgan,Female,31,Sheffield
C0048,Gabriel,Bell,Male,45,Nottingham
C0049,Penelope,Murphy,Female,38,Leicester
C0050,Isaac,Bailey,Male,25,Cardiff
C0051,Ellie,Rivera,Female,33,London
C0052,Anthony,Cooper,Male,28,Manchester
C0053,Stella,Richardson,Female,40,Birmingham
C0054,Dylan,Cox,Male,22,Leeds
C0055,Lucy,Howard,Female,26,Bristol
C0056,Leo,Ward,Male,37,Liverpool
C0057,Addison,Peterson,Female,32,Sheffield
C0058,Nathan,Gray,Male,46,Nottingham
C0059,Scarlett,Ramsey,Female,39,Leicester
C0060,Christian,Price,Male,24,Cardiff
C0061,Naomi,Watson,Female,35,London
C0062,Jonathan,Brooks,Male,30,Manchester
C0063,Aaliyah,Kelly,Female,42,Birmingham
C0064,Charles,Sanders,Male,21,Leeds
C0065,Elena,Wood,Female,28,Bristol
C0066,Thomas,Bennett,Male,34,Liverpool
C0067,Clara,Barnes,Female,29,Sheffield
C0068,Adam,Long,Male,47,Nottingham
C0069,Hailey,Myers,Female,36,Leicester
C0070,Joshua,Fisher,Male,27,Cardiff
C0071,Audrey,Vasquez,Female,33,London
C0072,Christopher,Kim,Male,31,Manchester
C0073,Anna,Butler,Female,43,Birmingham
C0074,Grayson,Collins,Male,22,Leeds
C0075,Eliza,Reyes,Female,25,Bristol
C0076,Cooper,Stewart,Male,38,Liverpool
C0077,Faith,Morris,Female,30,Sheffield
C0078,Brandon,Rogers,Male,48,Nottingham
C0079,Isabelle,Reed,Female,37,Leicester
C0080,Kevin,Cook,Male,26,Cardiff
C0081,Valentina,Gray,Female,34,London
C0082,Justin,Price,Male,29,Manchester
C0083,Everly,Watson,Female,41,Birmingham
C0084,Jordan,Brooks,Male,23,Leeds
C0085,Madeline,Kelly,Female,27,Bristol
C0086,Tyler,Sanders,Male,36,Liverpool
C0087,Julia,Wood,Female,31,Sheffield
C0088,Robert,Bennett,Male,45,Nottingham
C0089,Alexandra,Barnes,Female,38,Leicester
C0090,Brayden,Long,Male,25,Cardiff
C0091,Leah,Myers,Female,33,London
C0092,Zachary,Fisher,Male,28,Manchester
C0093,Adeline,Vasquez,Female,40,Birmingham
C0094,Jason,Kim,Male,22,Leeds
C0095,Josephine,Butler,Female,26,Bristol
C0096,Eric,Collins,Male,37,Liverpool
